"Temperature","ids","Points:0","Points:1","Points:2"
57.5,1,0.575,0.5,0
57.6,1,0.576,0.5,0
57.7,1,0.577,0.5,0
57.8,1,0.578,0.5,0
57.9,1,0.579,0.5,0
58,1,0.58,0.5,0
58.1,1,0.581,0.5,0
58.2,1,0.582,0.5,0
58.3,1,0.583,0.5,0
58.4,1,0.584,0.5,0
58.5,1,0.585,0.5,0
58.6,1,0.586,0.5,0
58.7,1,0.587,0.5,0
58.8,1,0.588,0.5,0
58.9,1,0.589,0.5,0
59,1,0.59,0.5,0
59.1,1,0.591,0.5,0
59.2,1,0.592,0.5,0
59.3,1,0.593,0.5,0
59.4,1,0.594,0.5,0
59.5,1,0.595,0.5,0
59.6,1,0.596,0.5,0
59.7,1,0.597,0.5,0
59.8,1,0.598,0.5,0
59.9,1,0.599,0.5,0
60,1,0.6,0.5,0
60.1,1,0.601,0.5,0
60.2,1,0.602,0.5,0
60.3,1,0.603,0.5,0
60.4,1,0.604,0.5,0
60.5,1,0.605,0.5,0
60.6,1,0.606,0.5,0
60.7,1,0.607,0.5,0
60.8,1,0.608,0.5,0
60.9,1,0.609,0.5,0
61,1,0.61,0.5,0
61.1,1,0.611,0.5,0
61.2,1,0.612,0.5,0
61.3,1,0.613,0.5,0
61.4,1,0.614,0.5,0
61.5,1,0.615,0.5,0
61.6,1,0.616,0.5,0
61.7,1,0.617,0.5,0
61.8,1,0.618,0.5,0
61.9,1,0.619,0.5,0
62,1,0.62,0.5,0
62.1,1,0.621,0.5,0
62.2,1,0.622,0.5,0
62.3,1,0.623,0.5,0
62.4,1,0.624,0.5,0
62.5,1,0.625,0.5,0
62.6,1,0.626,0.5,0
62.7,1,0.627,0.5,0
62.8,1,0.628,0.5,0
62.9,1,0.629,0.5,0
63,1,0.63,0.5,0
63.1,1,0.631,0.5,0
63.2,1,0.632,0.5,0
63.3,1,0.633,0.5,0
63.4,1,0.634,0.5,0
63.5,1,0.635,0.5,0
63.6,1,0.636,0.5,0
63.7,1,0.637,0.5,0
63.8,1,0.638,0.5,0
63.9,1,0.639,0.5,0
64,1,0.64,0.5,0
64.1,1,0.641,0.5,0
64.2,1,0.642,0.5,0
64.3,1,0.643,0.5,0
64.4,1,0.644,0.5,0
64.5,1,0.645,0.5,0
64.6,1,0.646,0.5,0
64.7,1,0.647,0.5,0
64.8,1,0.648,0.5,0
64.9,1,0.649,0.5,0
65,1,0.65,0.5,0
65.1,1,0.651,0.5,0
65.2,1,0.652,0.5,0
65.3,1,0.653,0.5,0
65.4,1,0.654,0.5,0
65.5,1,0.655,0.5,0
65.6,1,0.656,0.5,0
65.7,1,0.657,0.5,0
65.8,1,0.658,0.5,0
65.9,1,0.659,0.5,0
66,1,0.66,0.5,0
66.1,1,0.661,0.5,0
66.2,1,0.662,0.5,0
66.3,1,0.663,0.5,0
66.4,1,0.664,0.5,0
66.5,1,0.665,0.5,0
66.6,1,0.666,0.5,0
66.7,1,0.667,0.5,0
66.8,1,0.668,0.5,0
66.9,1,0.669,0.5,0
67,1,0.67,0.5,0
67.1,1,0.671,0.5,0
67.2,1,0.672,0.5,0
67.3,1,0.673,0.5,0
67.4,1,0.674,0.5,0
67.5,1,0.675,0.5,0
67.6,1,0.676,0.5,0
67.7,1,0.677,0.5,0
67.8,1,0.678,0.5,0
67.9,1,0.679,0.5,0
68,1,0.68,0.5,0
68.1,1,0.681,0.5,0
68.2,1,0.682,0.5,0
68.3,1,0.683,0.5,0
68.4,1,0.684,0.5,0
68.5,1,0.685,0.5,0
68.6,1,0.686,0.5,0
68.7,1,0.687,0.5,0
68.8,1,0.688,0.5,0
68.9,1,0.689,0.5,0
69,1,0.69,0.5,0
69.1,1,0.691,0.5,0
69.2,1,0.692,0.5,0
69.3,1,0.693,0.5,0
69.4,1,0.694,0.5,0
69.5,1,0.695,0.5,0
69.6,1,0.696,0.5,0
69.7,1,0.697,0.5,0
69.8,1,0.698,0.5,0
69.9,1,0.699,0.5,0
70,1,0.7,0.5,0
70.1,1,0.701,0.5,0
70.2,1,0.702,0.5,0
70.3,1,0.703,0.5,0
70.4,1,0.704,0.5,0
70.5,1,0.705,0.5,0
70.6,1,0.706,0.5,0
70.7,1,0.707,0.5,0
70.8,1,0.708,0.5,0
70.9,1,0.709,0.5,0
71,1,0.71,0.5,0
71.1,1,0.711,0.5,0
71.2,1,0.712,0.5,0
71.3,1,0.713,0.5,0
71.4,1,0.714,0.5,0
71.5,1,0.715,0.5,0
71.6,1,0.716,0.5,0
71.7,1,0.717,0.5,0
71.8,1,0.718,0.5,0
71.9,1,0.719,0.5,0
72,1,0.72,0.5,0
72.1,1,0.721,0.5,0
72.2,1,0.722,0.5,0
72.3,1,0.723,0.5,0
72.4,1,0.724,0.5,0
72.5,1,0.725,0.5,0
72.6,1,0.726,0.5,0
72.7,1,0.727,0.5,0
72.8,1,0.728,0.5,0
72.9,1,0.729,0.5,0
73,1,0.73,0.5,0
73.1,1,0.731,0.5,0
73.2,1,0.732,0.5,0
73.3,1,0.733,0.5,0
73.4,1,0.734,0.5,0
73.5,1,0.735,0.5,0
73.6,1,0.736,0.5,0
73.7,1,0.737,0.5,0
73.8,1,0.738,0.5,0
73.9,1,0.739,0.5,0
74,1,0.74,0.5,0
74.1,1,0.741,0.5,0
74.2,1,0.742,0.5,0
74.3,1,0.743,0.5,0
74.4,1,0.744,0.5,0
74.5,1,0.745,0.5,0
74.6,1,0.746,0.5,0
74.7,1,0.747,0.5,0
74.8,1,0.748,0.5,0
74.9,1,0.749,0.5,0
75,1,0.75,0.5,0
75.1,1,0.751,0.5,0
75.2,1,0.752,0.5,0
75.3,1,0.753,0.5,0
75.4,1,0.754,0.5,0
75.5,1,0.755,0.5,0
75.6,1,0.756,0.5,0
75.7,1,0.757,0.5,0
75.8,1,0.758,0.5,0
75.9,1,0.759,0.5,0
76,1,0.76,0.5,0
76.1,1,0.761,0.5,0
76.2,1,0.762,0.5,0
76.3,1,0.763,0.5,0
76.4,1,0.764,0.5,0
76.5,1,0.765,0.5,0
76.6,1,0.766,0.5,0
76.7,1,0.767,0.5,0
76.8,1,0.768,0.5,0
76.9,1,0.769,0.5,0
77,1,0.77,0.5,0
77.1,1,0.771,0.5,0
77.2,1,0.772,0.5,0
77.3,1,0.773,0.5,0
77.4,1,0.774,0.5,0
77.5,1,0.775,0.5,0
77.6,1,0.776,0.5,0
77.7,1,0.777,0.5,0
77.8,1,0.778,0.5,0
77.9,1,0.779,0.5,0
78,1,0.78,0.5,0
78.1,1,0.781,0.5,0
78.2,1,0.782,0.5,0
78.3,1,0.783,0.5,0
78.4,1,0.784,0.5,0
78.5,1,0.785,0.5,0
78.6,1,0.786,0.5,0
78.7,1,0.787,0.5,0
78.8,1,0.788,0.5,0
78.9,1,0.789,0.5,0
79,1,0.79,0.5,0
79.1,1,0.791,0.5,0
79.2,1,0.792,0.5,0
79.3,1,0.793,0.5,0
79.4,1,0.794,0.5,0
79.5,1,0.795,0.5,0
79.6,1,0.796,0.5,0
79.7,1,0.797,0.5,0
79.8,1,0.798,0.5,0
79.9,1,0.799,0.5,0
80,1,0.8,0.5,0
80.1,1,0.801,0.5,0
80.2,1,0.802,0.5,0
80.3,1,0.803,0.5,0
80.4,1,0.804,0.5,0
80.5,1,0.805,0.5,0
80.6,1,0.806,0.5,0
80.7,1,0.807,0.5,0
80.8,1,0.808,0.5,0
80.9,1,0.809,0.5,0
81,1,0.81,0.5,0
81.1,1,0.811,0.5,0
81.2,1,0.812,0.5,0
81.3,1,0.813,0.5,0
81.4,1,0.814,0.5,0
81.5,1,0.815,0.5,0
81.6,1,0.816,0.5,0
81.7,1,0.817,0.5,0
81.8,1,0.818,0.5,0
81.9,1,0.819,0.5,0
82,1,0.82,0.5,0
82.1,1,0.821,0.5,0
82.2,1,0.822,0.5,0
82.3,1,0.823,0.5,0
82.4,1,0.824,0.5,0
82.5,1,0.825,0.5,0
82.6,1,0.826,0.5,0
82.7,1,0.827,0.5,0
82.8,1,0.828,0.5,0
82.9,1,0.829,0.5,0
83,1,0.83,0.5,0
83.1,1,0.831,0.5,0
83.2,1,0.832,0.5,0
83.3,1,0.833,0.5,0
83.4,1,0.834,0.5,0
83.5,1,0.835,0.5,0
83.6,1,0.836,0.5,0
83.7,1,0.837,0.5,0
83.8,1,0.838,0.5,0
83.9,1,0.839,0.5,0
84,1,0.84,0.5,0
84.1,1,0.841,0.5,0
84.2,1,0.842,0.5,0
84.3,1,0.843,0.5,0
84.4,1,0.844,0.5,0
84.5,1,0.845,0.5,0
84.6,1,0.846,0.5,0
84.7,1,0.847,0.5,0
84.8,1,0.848,0.5,0
84.9,1,0.849,0.5,0
85,1,0.85,0.5,0
85.1,1,0.851,0.5,0
85.2,1,0.852,0.5,0
85.3,1,0.853,0.5,0
85.4,1,0.854,0.5,0
85.5,1,0.855,0.5,0
85.6,1,0.856,0.5,0
85.7,1,0.857,0.5,0
85.8,1,0.858,0.5,0
85.9,1,0.859,0.5,0
86,1,0.86,0.5,0
86.1,1,0.861,0.5,0
86.2,1,0.862,0.5,0
86.3,1,0.863,0.5,0
86.4,1,0.864,0.5,0
86.5,1,0.865,0.5,0
86.6,1,0.866,0.5,0
86.7,1,0.867,0.5,0
86.8,1,0.868,0.5,0
86.9,1,0.869,0.5,0
87,1,0.87,0.5,0
87.1,1,0.871,0.5,0
87.2,1,0.872,0.5,0
87.3,1,0.873,0.5,0
87.4,1,0.874,0.5,0
87.5,1,0.875,0.5,0
87.6,1,0.876,0.5,0
87.7,1,0.877,0.5,0
87.8,1,0.878,0.5,0
